Date,Weighted Digital Assets ,Innovation Counts ,Automation Breaks ,Software Development Expansion Index ,New Pieces of Content,CTR on Paid Ads,Google - Simple Close - Adspend ,FB - Simple Close - Adspend ,FB - True Blue Homes - Adspend ,Property Leads Supplement ,Leadzolo Supplement ,Total Adspend ,CPL,Fallback (Listed),Fallback (Unsold),Leads Delivered (Provisional),Leads Delivered (Refunded),Leads Delivered (Corrected),VLD (Provisional),VLD (Refunded),VLD (Corrected),New Identities To CRM,Total # of Identities ,Outflow ,New Clients,Active Clients ,# Leads Bought,Finished Packages,Resigns,Churn %,Gross Income ,Total Profit ,Profit Margin %,New Div 4 Content,New Div 6 Content,Div 4 - CTR,Div 6 - CTR,Weighted Digital Assets,Innovation Counts,Automation Breaks,Software Development Expansion Index,Google – Simple Close – Adspend,FB – Simple Close – Adspend,FB – True Blue Homes – Adspend,Leadzolo Supplement,Property Leads Supplement,Total Adspend,Fallback (Rejected),Total Leads,Sellable Leads,Total # of Identities,Outflow,Active Clients,Gross Income,CAC,Total Profit
2025-06-02,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,1.0,,,,,,600.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-03,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-04,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-05,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-06,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-07,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-08,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-09,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-10,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-11,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-12,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-13,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-14,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
2025-06-15,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0
